ID,Starttidspunkt,Færdiggørelsestidspunkt,Mail,Navn,What is your gender?,What is your age?,What is your living situation?,Are you enrolled in an academic institute?,What kind of academic institute are you going to?,What academic degree are you currently pursuing?,Where is your home university located?,What is your current average grade?,What is the main reason you are studying?,What are your current studies?,How did your financial situation impact your choice of studies?,What would you have liked to study if money would not affect you?,Did your parents attend university?,How do you finance yourself/studies?,Do you have a job besides your studies?,What is the motivation for your work?,How many hours do you work a week?,What is your brutto monthly salary in euros?,"What is your average monthly income from all sources in euros? (Parents, Work, State, other)",Cash from support,"How often do you interact with your friends outside of university on a weekly basis? (Party, Resturant, Bar...)",Studying comes naturally to me.,I often feel stressed.,I like going to university.,University equals meeting my friends.,I have plenty of leisure time.,I would like to spend more time with my friends.,I am happy.
129,6/16/22 18:05:17,6/16/22 18:14:13,anonymous,,Female,25,Living with other people,Yes,Private,Master,Austria,2.8,Money money money;Because I can learn more about topics that interest me;,Marketing & visual communication ,Accomodation during studies;,Same,Both;,Family;,Yes,Gain expertise and get experience in the field;,11-20,1001-1500,1001-1500,0,Once or twice a week,Agree,Agree,Neutral,Strongly disagree,Disagree,Agree,Agree
130,6/17/22 12:13:20,6/17/22 12:18:19,anonymous,,Male,28,Living with other people,Yes,Private,Master,France,2,Because I can learn more about topics that interest me;Because it is a necessity to get a good job;,Business,It had no impact;,Business,Father;,Family;Personal savings;Scholarships;,Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);Experience for future job applications;Gain expertise and get experience in the field;",31+,1501-2000,2001-2500,500,More than five days a week,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree
131,6/17/22 12:15:08,6/17/22 12:22:23,anonymous,,Male,26,Living with parents,Yes,Public,Bachelor,Austria,3,Because I can learn more about topics that interest me;,Business,It had no impact;,Humanities,Both;,Working;Family;,Yes,"To finance the nonnecessities (sociallife, party, travel);Experience for future job applications;Gain expertise and get experience in the field;Personal interest;",11-20,1001-1500,1501-2000,500,three to four days a week,Neutral,Agree,Neutral,Strongly disagree,Neutral,Neutral,Neutral
132,6/17/22 12:22:25,6/17/22 12:27:14,anonymous,,Male,25,Living with other people,Yes,Public,Bachelor,Austria,2,Because I can learn more about topics that interest me;Because it is a necessity to get a good job;,Business,Choice of university;,Social sciences,None;,Working;Family;,Yes,"To finance necessities (Food, studies, rent);",21-30,1001-1500,1001-1500,0,Once or twice a week,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Agree
133,6/17/22 12:24:30,6/17/22 12:27:26,anonymous,,Male,25,Living alone,Yes,Private,Bachelor,Austria,1.5,Because I can learn more about topics that interest me;,Natural sciences,Location of studies;,Natural sciences,Both;,Family;,No,,,,1001-1500,1250,Once or twice a week,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral
134,6/17/22 12:24:15,6/17/22 12:29:42,anonymous,,Female,26,Living with other people,Yes,Public,Master,Austria,1.1,Because I can learn more about topics that interest me;Because it is a necessity to get a good job;education;,Natural sciences,It had no impact;,Natural sciences,Both;,Working;Family;,Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);Experience for future job applications;Gain expertise and get experience in the field;Personal interest;",1-10,0-500,2001-2500,2000,Once or twice a week,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Agree,Strongly agree
135,6/17/22 12:26:30,6/17/22 12:29:47,anonymous,,Male,26,Living with parents,Yes,Public,Bachelor,Austria,2.6,Because I can see new cities and meet new places;,Natural sciences,It had no impact;,,None;,Family;,No,,,,0-500,250,Once or twice a week,Strongly agree,Disagree,Strongly disagree,Neutral,Disagree,Agree,Strongly agree
136,6/17/22 12:26:24,6/17/22 12:31:37,anonymous,,Male,26,Living alone,Yes,Public,Master,Austria,2.7,Because it is a necessity to get a good job;Because I can learn more about topics that interest me;Because it is a fun time;,Education,It had no impact;,History,Mother;,Working;Family;Scholarships;,Yes,"To finance necessities (Food, studies, rent);Gain expertise and get experience in the field;",1-10,0-500,501-1000,500,three to four days a week,Agree,Agree,Agree,Disagree,Agree,Neutral,Neutral
137,6/17/22 12:30:15,6/17/22 12:34:10,anonymous,,Male,20,Living with other people,Yes,Public,Bachelor,Austria,2,Because I can learn more about topics that interest me;,Economics,It had no impact;,Economics,Both;,Personal savings;,Yes,Experience for future job applications;Gain expertise and get experience in the field;Personal interest;,1-10,0-500,2001-2500,2000,three to four days a week,Agree,Neutral,Neutral,Disagree,Strongly disagree,Agree,Neutral
138,6/17/22 12:36:49,6/17/22 12:39:53,anonymous,,Male,25,Living with other people,Yes,Public,Bachelor,Austria,2.5,Because I can see new cities and meet new places;Because it is a fun time;Because it is a necessity to get a good job;,Economics,It had no impact;,Economics,None;,Family;Working;Personal savings;,Yes,Experience for future job applications;Gain expertise and get experience in the field;,1-10,0-500,1001-1500,1000,More than five days a week,Neutral,Disagree,Agree,Agree,Neutral,Agree,Strongly agree
139,6/17/22 12:41:50,6/17/22 12:45:11,anonymous,,Female,21,Living with other people,Yes,Public,,Austria,1.8,Because I can learn more about topics that interest me;Because it is a necessity to get a good job;,Natural sciences,Location of studies;Choice of university;Accomodation during studies;,Natural sciences,Mother;,Working;Scholarships;,Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);Experience for future job applications;Gain expertise and get experience in the field;",1-10,0-500,501-1000,500,three to four days a week,Agree,Agree,Strongly agree,Neutral,Neutral,Neutral,Agree
140,6/17/22 12:59:26,6/17/22 13:02:12,anonymous,,Male,26,Living with other people,Yes,Private,Master,Austria,2.5,Because I can learn more about topics that interest me;,Economics,It had no impact;,Natural sciences,None;,Working;,Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);Experience for future job applications;Gain expertise and get experience in the field;",31+,3000+,3001-3500,0,three to four days a week,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree
141,6/17/22 13:36:40,6/17/22 13:40:45,anonymous,,Female,24,Living with other people,Yes,Public,Master,Austria,2.2,Because it is a fun time;Because I can learn more about topics that interest me;,Medicine,Accomodation during studies;,Medicine,Mother;,Working;Family;,Yes,"To finance the nonnecessities (sociallife, party, travel);Gain expertise and get experience in the field;Personal interest;",1-10,0-500,501-1000,500,Once or twice a week,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree
142,6/17/22 13:44:44,6/17/22 13:46:09,anonymous,,Female,26,Living with other people,No,,,,,,,,,,,Yes,Gain expertise and get experience in the field;Experience for future job applications;,31+,2501-3000,2001-2500,1000,Once or twice a week,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Strongly agree
143,6/17/22 13:49:33,6/17/22 13:51:44,anonymous,,Male,23,Living alone,Yes,Public,Master,Austria,1.7,Because it is a necessity to get a good job;Because I can learn more about topics that interest me;Because it is a fun time;,Engineering,Choice of university;Location of studies;,,None;,Family;Personal savings;Working;,No,,,,501-1000,750,Once or twice a week,Agree,Strongly agree,Agree,Neutral,Agree,Neutral,Neutral
144,6/17/22 15:51:42,6/17/22 15:56:09,anonymous,,Female,23,Living with other people,Yes,Public,PhD,Austria,1.5,Because it is a necessity to get a good job;Because I can learn more about topics that interest me;Because it is a fun time;,Natural sciences,It had no impact;,Natural sciences,None;,Working;Family;,Yes,"To finance the nonnecessities (sociallife, party, travel);Experience for future job applications;Gain expertise and get experience in the field;",11-20,501-1000,501-1000,0,three to four days a week,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Agree
145,6/17/22 17:56:11,6/17/22 18:01:56,anonymous,,Male,26,Living with other people,Yes,Public,Master,Austria,2,"Because I can learn more about topics that interest me;Also finished two bachelor and a master degree, my current study is only for interests. One bachelor in economics and one in business law and a master degree in business law.;",Political science,Location of studies;Choice of university;Field of studies;,Political science,Father;,Working;Family;Personal savings;,Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);Gain expertise and get experience in the field;Personal interest;",31+,1501-2000,0-500,1500,Once or twice a week,Strongly agree,Neutral,Neutral,Neutral,Neutral,Disagree,Agree
146,6/17/22 18:53:36,6/17/22 18:55:49,anonymous,,Male,32,Living with other people,Yes,Public,Master,Austria,1.5,Because I can learn more about topics that interest me;Because it is a fun time;Because I can see new cities and meet new places;,Engineering,Choice of university;Location of studies;,Engineering,None;,Working;Family;Scholarships;,Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);",1-10,0-500,501-1000,500,Once or twice a week,Strongly agree,Disagree,Strongly agree,Neutral,Agree,Disagree,Agree
148,6/19/22 11:17:32,6/19/22 11:32:34,anonymous,,Female,32,Living with other people,Yes,Public,Master,Austria,,Because it is a necessity to get a good job;,Engineering,It had no impact;,Humanities,Father;,Working;,Yes,"To finance necessities (Food, studies, rent);",31+,2501-3000,2501-3000,0,Once or twice a week,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral
149,6/19/22 14:48:32,6/19/22 14:53:06,anonymous,,Male,26,Living with other people,Yes,Public,Bachelor,Austria,3,Because it is a necessity to get a good job;Because I can learn more about topics that interest me;Because all my friends did it;,Law,Field of studies;Location of studies;,History,Mother;,Working;Family;,Yes,"To finance the nonnecessities (sociallife, party, travel);",21-30,501-1000,1501-2000,1000,Once or twice a week,Neutral,Strongly agree,Agree,Disagree,Agree,Agree,Agree
150,6/19/22 22:00:24,6/19/22 22:02:48,anonymous,,Female,25,Living with other people,No,,,,,,,,,,,Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);Experience for future job applications;Gain expertise and get experience in the field;Personal interest;",31+,3000+,3001-3500,0,three to four days a week,Agree,Disagree,Agree,Agree,Neutral,Neutral,Strongly agree
151,6/20/22 9:17:05,6/20/22 9:22:32,anonymous,,Female,21,Living with other people,Yes,Private,Bachelor,Germany,1.8,Because I can learn more about topics that interest me;,Psychologie,Choice of university;Location of studies;,Arts,Mother;Father;,Family;,Yes,Personal interest;,1-10,0-500,501-1000,500,three to four days a week,Agree,Disagree,Agree,Agree,Neutral,Disagree,Agree
152,6/22/22 10:00:04,6/22/22 10:04:50,anonymous,,Male,25,Living alone,Yes,Public,Master,Austria,1,Because I can learn more about topics that interest me;Because it is a necessity to get a good job;,Engineering,It had no impact;,,None;,Working;,Yes,"To finance necessities (Food, studies, rent);To finance the nonnecessities (sociallife, party, travel);Experience for future job applications;Gain expertise and get experience in the field;Personal interest;",31+,2001-2500,2001-2500,0,Once or twice a week,Agree,Agree,Agree,Neutral,Strongly disagree,Neutral,Agree
